URL,标题,标题长度,元描述长度,内容长度,H1数量,图片总数,缺少Alt的图片,内部链接数,SEO问题数
"https://www.yhflexiblebusbar.com","Flexible Busbar Solutions | High Current Power | Yanghua",56,143,6075,1,25,0,33,0
"https://www.yhflexiblebusbar.com/en","Flexible Busbar Solutions | High Current Power | Yanghua",56,143,6075,1,25,0,33,0
"https://www.yhflexiblebusbar.com/en/about","About Yanghua Cable | Leading Flexible Busbar Manufacturer",58,167,6109,1,16,0,24,1
"https://www.yhflexiblebusbar.com/en/products","Flexible Copper Busbar Products | Yanghua",41,145,5754,1,6,0,30,0
"https://www.yhflexiblebusbar.com/en/solutions","Flexible Busbar Solutions for Data Centers, EV & Industry | Yanghua",67,151,5738,1,6,0,31,1
"https://www.yhflexiblebusbar.com/en/projects","Project Cases | Yanghua Cable",29,109,6129,1,7,0,31,2
"https://www.yhflexiblebusbar.com/en/articles","Flexible Busbar Blog & Resources | Design, Comparisons & FAQs | Yanghua",71,139,5507,1,0,0,24,1
"https://www.yhflexiblebusbar.com/en/services","Custom Busbar Manufacturing, Testing & Maintenance Services | Yanghua",69,136,5575,1,0,0,24,1
"https://www.yhflexiblebusbar.com/en/contact","Yanghua Cable - Professional Cable Solutions",44,89,5533,1,0,0,24,1
"https://www.yhflexiblebusbar.com/en/partners","Yanghua Cable - Professional Cable Solutions",44,89,5522,1,8,0,24,1
"https://www.yhflexiblebusbar.com/en/projects/1","Huawei Data Center Expansion | Flexible Busbar Case Study | Yanghua",67,112,6218,1,2,0,27,2
"https://www.yhflexiblebusbar.com/en/projects/2","BYD Battery Manufacturing | Flexible Busbar Case Study | Yanghua",64,112,6216,1,2,0,27,2
"https://www.yhflexiblebusbar.com/en/projects/3","CATL Energy Storage | Flexible Busbar Case Study | Yanghua",58,121,6187,1,2,0,27,0
"https://www.yhflexiblebusbar.com/en/projects/4","Midea Industrial Complex | Flexible Busbar Case Study | Yanghua",63,123,6204,1,2,0,27,1
