URL,Path,SEO Score,Performance Score,Accessibility Score,Best Practices Score,Issues Count,Status
https://www.yhflexiblebusbar.com/,/,100,79,87,100,0,Success
https://www.yhflexiblebusbar.com/en,/en,100,93,87,100,0,Success
https://www.yhflexiblebusbar.com/es,/es,92,86,87,100,1,Success
https://www.yhflexiblebusbar.com/en/products,/en/products,100,100,90,100,0,Success
https://www.yhflexiblebusbar.com/es/productos,/es/productos,100,99,90,100,0,Success
https://www.yhflexiblebusbar.com/en/solutions,/en/solutions,100,100,89,100,0,Success
https://www.yhflexiblebusbar.com/es/soluciones,/es/soluciones,100,94,89,100,0,Success
https://www.yhflexiblebusbar.com/en/about,/en/about,100,75,90,100,0,Success
https://www.yhflexiblebusbar.com/es/acerca-de,/es/acerca-de,100,76,90,100,0,Success
https://www.yhflexiblebusbar.com/en/services,/en/services,100,99,87,100,0,Success
https://www.yhflexiblebusbar.com/es/servicios,/es/servicios,100,98,87,100,0,Success
https://www.yhflexiblebusbar.com/en/projects,/en/projects,100,100,89,100,0,Success
https://www.yhflexiblebusbar.com/es/proyectos,/es/proyectos,92,100,89,100,1,Success
https://www.yhflexiblebusbar.com/en/contact,/en/contact,92,100,90,100,1,Success
https://www.yhflexiblebusbar.com/es/contacto,/es/contacto,92,100,90,100,1,Success
https://www.yhflexiblebusbar.com/en/articles,/en/articles,100,71,90,100,0,Success
https://www.yhflexiblebusbar.com/es/articulos,/es/articulos,100,70,90,100,0,Success
